category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
FieldAndObjectSensitivity,ObjectSensitivity2,MAMADROID,8,12,6,2,0.75,yes
FieldAndObjectSensitivity,ObjectSensitivity2,NATIDROID,8,5286,8,0,1.0,yes
GeneralJava,Clone1,Androguard,10,10,10,0,1.0,yes
GeneralJava,Clone1,FlowDroid,10,14,9,1,0.9,yes
GeneralJava,Clone1,GATOR,10,20,10,0,1.0,yes
GeneralJava,Clone1,MAMADROID,10,13,9,1,0.9,yes
GeneralJava,Clone1,NATIDROID,10,2316,10,0,1.0,yes
GeneralJava,Exceptions1,Androguard,7,2727,7,0,1.0,yes
GeneralJava,Exceptions1,FlowDroid,7,13,5,2,0.714286,yes
GeneralJava,Exceptions1,GATOR,7,3478,7,0,1.0,yes
GeneralJava,Exceptions1,MAMADROID,7,12,5,2,0.714286,yes
GeneralJava,Exceptions1,NATIDROID,7,5753,7,0,1.0,yes
GeneralJava,Exceptions2,Androguard,7,2727,7,0,1.0,yes
GeneralJava,Exceptions2,FlowDroid,7,11,5,2,0.714286,yes
GeneralJava,Exceptions2,GATOR,7,3479,7,0,1.0,yes
GeneralJava,Exceptions2,MAMADROID,7,10,5,2,0.714286,yes
GeneralJava,Exceptions2,NATIDROID,7,5754,7,0,1.0,yes
GeneralJava,Exceptions3,Androguard,7,2726,7,0,1.0,yes
GeneralJava,Exceptions3,FlowDroid,7,10,5,2,0.714286,yes
GeneralJava,Exceptions3,GATOR,7,3478,7,0,1.0,yes
GeneralJava,Exceptions3,MAMADROID,7,9,5,2,0.714286,yes
GeneralJava,Exceptions3,NATIDROID,7,5753,7,0,1.0,yes
GeneralJava,Exceptions4,Androguard,8,2728,8,0,1.0,yes
GeneralJava,Exceptions4,FlowDroid,8,15,6,2,0.75,yes
GeneralJava,Exceptions4,GATOR,8,3479,8,0,1.0,yes
GeneralJava,Exceptions4,MAMADROID,8,14,6,2,0.75,yes
GeneralJava,Exceptions4,NATIDROID,8,5754,8,0,1.0,yes
GeneralJava,FactoryMethods1,Androguard,13,2732,13,0,1.0,yes
GeneralJava,FactoryMethods1,FlowDroid,13,19,9,4,0.692308,yes
GeneralJava,FactoryMethods1,GATOR,13,3486,13,0,1.0,yes
GeneralJava,FactoryMethods1,MAMADROID,13,14,9,4,0.692308,yes
GeneralJava,FactoryMethods1,NATIDROID,13,5784,13,0,1.0,yes
GeneralJava,Loop1,Androguard,6,2348,6,0,1.0,yes
GeneralJava,Loop1,FlowDroid,6,20,4,2,0.666667,yes
GeneralJava,Loop1,GATOR,6,2988,6,0,1.0,yes
GeneralJava,Loop1,MAMADROID,6,17,4,2,0.666667,yes
GeneralJava,Loop1,NATIDROID,6,5292,6,0,1.0,yes
GeneralJava,Loop2,Androguard,6,2348,6,0,1.0,yes
GeneralJava,Loop2,FlowDroid,6,20,4,2,0.666667,yes
GeneralJava,Loop2,GATOR,6,2988,6,0,1.0,yes
GeneralJava,Loop2,MAMADROID,6,17,4,2,0.666667,yes
GeneralJava,Loop2,NATIDROID,6,5292,6,0,1.0,yes
GeneralJava,Serialization1,Androguard,12,12,12,0,1.0,yes
GeneralJava,Serialization1,FlowDroid,12,18,11,1,0.916667,yes
GeneralJava,Serialization1,GATOR,12,23,12,0,1.0,yes
GeneralJava,Serialization1,MAMADROID,12,17,11,1,0.916667,yes
GeneralJava,Serialization1,NATIDROID,12,2318,12,0,1.0,yes
GeneralJava,SourceCodeSpecific1,Androguard,13,2349,13,0,1.0,yes
