tool,proxy,bucket,signature,all_tags
NATIDROID,privacy,location_and_sensors,<android.location.Location: boolean hasMslAltitude()>,location
NATIDROID,privacy,location_and_sensors,<android.location.LocationListener: void onLocationChanged(android.location.Location)>,callback|location
NATIDROID,privacy,location_and_sensors,<android.hardware.camera2.params.DynamicRangeProfiles: java.util.Set getSupportedProfiles()>,camera
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean hasGesture()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean isRedirect()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setMixedContentMode(int)>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: android.net.Uri getUrl()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean isForMainFrame()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: java.lang.String getMethod()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setOffscreenPreRaster(boolean)>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setSafeBrowsingEnabled(boolean)>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.ValueCallback: void onReceiveValue(java.lang.Object)>,callback|webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: java.util.Map getRequestHeaders()>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setAllowFileAccessFromFileURLs(boolean)>,webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setAllowUniversalAccessFromFileURLs(boolean)>,webview
NATIDROID,privacy,web_and_exfil_primitives,"<android.webkit.GeolocationPermissions$Callback: void invoke(java.lang.String,boolean,boolean)>",webview
NATIDROID,privacy,web_and_exfil_primitives,<android.webkit.ServiceWorkerController: void setServiceWorkerClient(android.webkit.ServiceWorkerClient)>,webview
NATIDROID,privacy,web_and_exfil_primitives,<com.google.android.gms.internal.ads.pg: void loadUrl(java.lang.String)>,entrypoint|sensitive_api|webview
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void halt(int)>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void runFinalization()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: int getModifiers()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: boolean isSynthetic()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: java.lang.String getName()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.TypeVariable: java.lang.String getName()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.ClassValue: java.lang.Object get(java.lang.Class)>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.Member: java.lang.Class getDeclaringClass()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.TypeVariable: java.lang.reflect.Type[] getBounds()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.ClassLoader: java.net.URL getSystemResource(java.lang.String)>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.ParameterizedType: java.lang.reflect.Type getRawType()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.WildcardType: java.lang.reflect.Type[] getLowerBounds()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.WildcardType: java.lang.reflect.Type[] getUpperBounds()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.ParameterizedType: java.lang.reflect.Type getOwnerType()>,reflection
NATIDROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.reflect.GenericArrayType: java.lang.reflect.Type getGenericComponentType()>,reflection
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onContentChanged()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onAttachedToWindow()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onDetachedFromWindow()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.FragmentContainer: boolean onHasView()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.widget.PopupWindow$OnDismissListener: void onDismiss()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onWindowFocusChanged(boolean)>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.View$OnClickListener: void onClick(android.view.View)>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.ViewParent: void onStopNestedScroll(android.view.View)>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.webkit.ValueCallback: void onReceiveValue(java.lang.Object)>,callback|webview
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.ViewTreeObserver$OnPreDrawListener: boolean onPreDraw()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: android.view.View onCreatePanelView(int)>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,"<android.view.Window$Callback: void onPanelClosed(int,android.view.Menu)>",callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.FragmentHostCallback: java.lang.Object onGetHost()>,callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,"<android.view.Window$Callback: boolean onMenuOpened(int,android.view.Menu)>",callback
NATIDROID,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.Fragment$OnPreAttachedListener: void onPreAttached()>,callback
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: int getDeviceId()>,ipc|sensitive_api
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getDataDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCacheDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getFilesDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCodeCacheDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: android.os.Looper getMainLooper()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String getPackageName()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.lang.String[] databaseList()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: boolean isDeviceProtectedStorage()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getExternalCacheDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getNoBackupFilesDir()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: boolean deleteFile(java.lang.String)>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File[] getExternalCacheDirs()>,ipc
NATIDROID,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File[] getExternalMediaDirs()>,ipc
