tool,signature,class_name,method_name,primary_tag,all_tags
ANDROGUARD,"<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter,java.lang.String,android.os.Handler,int)>",android.content.ContextWrapper,registerReceiver,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>",android.content.ContextWrapper,getSharedPreferences,ipc,ipc
ANDROGUARD,"<android.content.ContextWrapper: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>",android.content.ContextWrapper,bindService,ipc,ipc|sensitive_api
ANDROGUARD,"<android.content.ContextWrapper: int checkPermission(java.lang.String,int,int)>",android.content.ContextWrapper,checkPermission,ipc,ipc
ANDROGUARD,"<android.content.ContextWrapper: java.io.File getDir(java.lang.String,int)>",android.content.ContextWrapper,getDir,ipc,ipc
ANDROGUARD,<android.content.ContextWrapper: java.io.File getObbDir()>,android.content.ContextWrapper,getObbDir,ipc,ipc
ANDROGUARD,"<android.content.ContextWrapper: java.io.FileOutputStream openFileOutput(java.lang.String,int)>",android.content.ContextWrapper,openFileOutput,ipc,ipc
ANDROGUARD,<android.content.ContextWrapper: java.util.concurrent.Executor getMainExecutor()>,android.content.ContextWrapper,getMainExecutor,ipc,ipc
ANDROGUARD,"<android.content.ContextWrapper: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",android.content.ContextWrapper,sendOrderedBroadcast,ipc,ipc
ANDROGUARD,"<android.content.DialogInterface$OnClickListener: void onClick(android.content.DialogInterface,int)>",android.content.DialogInterface$OnClickListener,onClick,callback,callback
ANDROGUARD,"<android.content.Intent$ShortcutIconResource: android.content.Intent$ShortcutIconResource fromContext(android.content.Context,int)>",android.content.Intent$ShortcutIconResource,fromContext,ipc,ipc
ANDROGUARD,"<android.content.Intent: android.content.Intent createChooser(android.content.Intent,java.lang.CharSequence)>",android.content.Intent,createChooser,ipc,ipc
ANDROGUARD,"<android.content.Intent: android.content.Intent createChooser(android.content.Intent,java.lang.CharSequence,android.content.IntentSender)>",android.content.Intent,createChooser,ipc,ipc
ANDROGUARD,"<android.content.Intent: android.content.Intent parseIntent(android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet)>",android.content.Intent,parseIntent,ipc,ipc
ANDROGUARD,"<android.content.Intent: android.content.Intent parseUri(java.lang.String,int)>",android.content.Intent,parseUri,ipc,ipc
