stem,category,package,launcher_activity,apk_path,dynamic_graph_path,dynamic_log_path,status,call_lines,unique_edges,events,throttle_ms,attempts_for_stem,started_at,finished_at,selection_rule
Baby Sleep Sounds_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Baby Sleep Sounds_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Barcelona Metro Map 2025_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Barcelona Metro Map 2025_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Barcode Scanner_5.0.15 (216)_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Barcode Scanner_5.0.15 (216)_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Beşiktaş Duvar Kağıtları_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Beşiktaş Duvar Kağıtları_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Bible app Verse of the day_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bible app Verse of the day_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
BigL Radio Player v10_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/BigL Radio Player v10_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Bigo Live - Live Streaming App_6.34.4_APKPure,social,sg.bigo.live,sg.bigo.live.home.MainActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/social/Bigo Live - Live Streaming App_6.34.4_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bigo Live - Live Streaming App_6.34.4_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/Bigo Live - Live Streaming App_6.34.4_APKPure.log,ok,98826,17640,5000,0,5,2026-04-11T10:05:05,2026-04-11T10:18:19,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
Bip Watchface Collection_6.10.28_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bip Watchface Collection_6.10.28_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Black Home_5.0.4_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Black Home_5.0.4_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Black Wallpapers_4.0.black_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Black Wallpapers_4.0.black_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Bokeh Live WatchFace Animated_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bokeh Live WatchFace Animated_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Boomplay Lite_6.8.85_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Boomplay Lite_6.8.85_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Bosse_2.17.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bosse_2.17.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Brac Healthcare_1.0.10_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Brac Healthcare_1.0.10_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Bria_6.20.4_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Bria_6.20.4_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Britain At War Magazine_7.3.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Britain At War Magazine_7.3.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
CLIKPAY Money_4.0.55_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/CLIKPAY Money_4.0.55_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
CYBEX_2.5.1 (2025.06.30.19.55)_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/CYBEX_2.5.1 (2025.06.30.19.55)_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Cal AI_1.0.97_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Cal AI_1.0.97_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Callmatez_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Callmatez_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
CamScanner_6.93.0.2507250000_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/CamScanner_6.93.0.2507250000_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Camera Translator  Voice_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Camera Translator  Voice_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Cammie Chat_2.2.5_APKPure,social,com.cammie.cc.chat,app.duomevideochat.duome.ui.SplashUI,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/social/Cammie Chat_2.2.5_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Cammie Chat_2.2.5_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/Cammie Chat_2.2.5_APKPure.log,ok,66080,35102,5000,0,7,2026-04-11T09:31:29,2026-04-11T09:46:39,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
Canal 26_5.0.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Canal 26_5.0.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Car hire with Centauro_3.10.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Car hire with Centauro_3.10.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Cellular signal strength meter_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Cellular signal strength meter_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Channel 3000_6.0.517_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Channel 3000_6.0.517_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Cleo_54.0.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Cleo_54.0.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Cobrador_2.2.1-general-release_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Cobrador_2.2.1-general-release_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Comexcel_3.0.11_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Comexcel_3.0.11_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Common Sense Media_1.10.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Common Sense Media_1.10.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Complication Info_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Complication Info_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
ComunidadFeliz_5.0.4_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/ComunidadFeliz_5.0.4_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
CutelChatMeet_2.6.0_APKPure,social,com.chatwm.live,com.nwide.useraccount.activity.SplashActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/social/CutelChatMeet_2.6.0_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/CutelChatMeet_2.6.0_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/CutelChatMeet_2.6.0_APKPure.log,error,,,5000,0,5,2026-04-11T10:39:19,2026-04-11T10:40:41,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
DADAM42_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/DADAM42_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
DIY Emoji Funny Emoji Maker_1.2.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/DIY Emoji Funny Emoji Maker_1.2.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
DamonSX2 Pro - PS2 Emulator_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/DamonSX2 Pro - PS2 Emulator_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Deep Caption_7.4.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Deep Caption_7.4.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
DepthFX Wallpaper_DFX_W_6.1.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/DepthFX Wallpaper_DFX_W_6.1.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
