tool,signature,apps_as_dynamic_entry,class_name,method_name,primary_tag,all_tags,non_library,nonobf_strict
ANDROGUARD,"<io.flutter.plugin.common.MethodChannel$IncomingMethodCallHandler: void onMessage(java.nio.ByteBuffer,io.flutter.plugin.common.BinaryMessenger$BinaryReply)>",15,io.flutter.plugin.common.MethodChannel$IncomingMethodCallHandler,onMessage,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.plugin.platform.PlatformViewRegistryImpl: boolean registerViewFactory(java.lang.String,io.flutter.plugin.platform.PlatformViewFactory)>",15,io.flutter.plugin.platform.PlatformViewRegistryImpl,registerViewFactory,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<okhttp3.ResponseBody$BomAwareReader: int read(char[],int,int)>",15,okhttp3.ResponseBody$BomAwareReader,read,network,network,no,yes
ANDROGUARD,"<okio.JvmFileHandle: void protectedWrite(long,byte[],int,int)>",15,okio.JvmFileHandle,protectedWrite,network,network,no,yes
ANDROGUARD,"<androidx.viewpager2.widget.ViewPager2$PageAwareAccessibilityProvider: void onInitialize(androidx.viewpager2.widget.CompositeOnPageChangeCallback,androidx.recyclerview.widget.RecyclerView)>",14,androidx.viewpager2.widget.ViewPager2$PageAwareAccessibilityProvider,onInitialize,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.facebook.react.ReactRootView: void onMeasure(int,int)>",14,com.facebook.react.ReactRootView,onMeasure,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<com.facebook.react.ReactRootView: void runApplication()>,14,com.facebook.react.ReactRootView,runApplication,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.animated.NativeAnimatedModule: void createAnimatedNode(double,com.facebook.react.bridge.ReadableMap)>",14,com.facebook.react.animated.NativeAnimatedModule,createAnimatedNode,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.shell.MainReactPackage: com.facebook.react.bridge.NativeModule getModule(java.lang.String,com.facebook.react.bridge.ReactApplicationContext)>",14,com.facebook.react.shell.MainReactPackage,getModule,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.BaseViewManager: void setBackgroundColor(android.view.View,int)>",14,com.facebook.react.uimanager.BaseViewManager,setBackgroundColor,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<com.facebook.react.uimanager.ReactShadowNodeImpl: java.lang.String getViewClass()>,14,com.facebook.react.uimanager.ReactShadowNodeImpl,getViewClass,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.ReactShadowNodeImpl: void setMeasureSpecs(int,int)>",14,com.facebook.react.uimanager.ReactShadowNodeImpl,setMeasureSpecs,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.ViewManagerPropertyUpdater$FallbackShadowNodeSetter: void setProperty(com.facebook.react.uimanager.ReactShadowNode,java.lang.String,java.lang.Object)>",14,com.facebook.react.uimanager.ViewManagerPropertyUpdater$FallbackShadowNodeSetter,setProperty,sdk_mediated,sdk_mediated,no,yes
